event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
19,86,1168,1212238,1231943,887575,15,2,1031,1,0,13,Drinkwater not koke
20,60,1228,5356195,5403493,1005832,50,2,1034,0,0,2,Drinkwater not koke
21,74,1302,1788379,1799455,878215,20,2,1035,2,0,11,Drinkwater not koke
22,45,1347,5499507,5576326,905759,50,2,1036,0,0,3,Drinkwater not koke
23,58,1405,6391438,6428295,973295,60,15,1037,1,0,3,Drinkwater not koke
24,135,1540,869012,879378,721557,10,2,1035,2,0,7,Drinkwater not koke
25,107,1643,487786,497592,577713,5,7,1032,2,4,12,Drinkwater not koke
26,83,1726,1672421,1699822,539193,15,18,1032,1,0,11,Drinkwater not koke
27,48,1774,8168245,8195223,631831,75,7,1033,1,0,9,Drinkwater not koke
28,57,1831,4834803,4899887,675675,45,7,1033,0,0,4,Drinkwater not koke
29,68,1899,765955,787190,484152,10,7,1030,0,0,9,Drinkwater not koke
30,47,1946,5086492,5104864,516149,45,52,1024,2,0,3,Drinkwater not koke
31,34,1980,5285474,5362007,608729,50,52,1026,0,0,10,Drinkwater not koke
32,74,2054,2261944,2273901,626338,20,40,1024,2,0,20,Drinkwater not koke
33,61,2115,4430651,4446924,685006,40,32,1025,1,0,21,Drinkwater not koke
34,33,2140,8858165,8858692,1096239,80,10,1025,3,8,2,Drinkwater not koke
35,48,2188,3063923,3141722,1063692,30,10,1025,0,0,4,Drinkwater not koke
36,62,2250,869781,880611,938446,10,36,1020,2,0,12,Drinkwater not koke
37,49,2299,2695596,2720549,935813,25,35,1020,1,0,9,Drinkwater not koke
38,66,2361,973780,985783,878616,10,49,1015,2,4,0,Drinkwater not koke
1,57,57,4384115,4491933,4384115,55,0,1000,0,0,7,Tesco McNeil Deal
2,62,119,6565182,6596191,5545227,70,0,1001,1,0,7,Tesco McNeil Deal
3,61,172,6351907,6356544,6143551,65,4,1003,3,8,3,Tesco McNeil Deal
4,63,235,1847996,1867941,5050294,20,10,1001,1,0,13,Tesco McNeil Deal
5,60,295,4415779,4469074,4866297,45,0,1005,0,0,8,Tesco McNeil Deal
6,75,370,858723,872554,2955218,10,0,1006,0,0,4,Tesco McNeil Deal
7,34,404,8962496,8982282,3947770,90,0,1005,1,0,8,Tesco McNeil Deal
8,55,459,650784,661150,2620718,10,0,1006,1,0,11,Tesco McNeil Deal
9,75,534,512245,521942,1643215,5,4,1011,2,0,13,Tesco McNeil Deal
